time,omega_true,omega_sensor,torque,load,attack_type,attack_active,fault_type,fault_active,omega_kalman,innovation,RUL,run_id,scenario_id
0.0,0.0014000000000000004,0.0014000000000000004,1.2000000000000002,0.5,None,0,None,0,0.018664833574529666,-0.23859999999999998,5.0,0,0
0.020080321285140562,0.002799972000000001,0.002799972000000001,1.2000000000000002,0.5,None,0,None,0,0.15904550080383115,-0.25213189485962373,4.979919678714859,0,0
0.040160642570281124,0.004199916000560001,0.004199916000560001,1.2000000000000002,0.5,None,0,None,0,0.2915501939084951,-0.36303648464250493,4.959839357429719,0,0
0.060240963855421686,0.00559983200223999,0.00559983200223999,1.2000000000000002,0.5,None,0,None,0,0.4110350996279287,-0.46764032312455606,4.9397590361445785,0,0
0.08032128514056225,0.006999720005599945,0.006999720005599945,1.2000000000000002,0.5,None,0,None,0,0.5153808665446236,-0.5618283596967432,4.919678714859438,0,0
0.10040160642570281,0.008399580011199833,0.008399580011199833,1.2000000000000002,0.5,None,0,None,0,0.6041205483919224,-0.6439051132244991,4.899598393574297,0,0
0.12048192771084337,0.009799412019599609,0.009799412019599609,1.2000000000000002,0.5,None,0,None,0,0.6779354029203642,-0.7134970266939382,4.879518072289157,0,0
0.14056224899598393,0.011199216031359217,0.011199216031359217,1.2000000000000002,0.5,None,0,None,0,0.7382262068227892,-0.7711491063049322,4.859437751004016,0,0
0.1606425702811245,0.01259899204703859,0.01259899204703859,1.2000000000000002,0.5,None,0,None,0,0.7867498740276624,-0.8179819734111927,4.839357429718875,0,0
0.18072289156626506,0.01399874006719765,0.01399874006719765,1.2000000000000002,0.5,None,0,None,0,0.8253484533691403,-0.8554011591549322,4.819277108433735,0,0
0.20080321285140562,0.015398460092396305,0.015398460092396305,1.2000000000000002,0.5,None,0,None,0,0.8557735742422423,-0.884880302602916,4.7991967871485945,0,0
0.22088353413654618,0.01679815212319446,0.01679815212319446,1.2000000000000002,0.5,None,0,None,0,0.8795906698537483,-0.9078207072705994,4.779116465863454,0,0
0.24096385542168675,0.018197816160151994,0.018197816160151994,1.2000000000000002,0.5,None,0,None,0,0.8981406011916204,-0.9254747197228467,4.759036144578313,0,0
0.26104417670682734,0.019597452203828792,0.019597452203828792,1.2000000000000002,0.5,None,0,None,0,0.9125376536508398,-0.9389150287494675,4.738955823293173,0,0
